,Empire,Kingdom,Duchy,County,Barony,Province ID,color
0,e_britannia,,,,,,
1,e_britannia,k_england,,,,,
2,e_britannia,k_england,d_bedford,,,,
3,e_britannia,k_england,d_bedford,c_middlesex,,,
4,e_britannia,k_england,d_bedford,c_middlesex,b_london,1527,{ 230 5 5 }
5,e_britannia,k_england,d_bedford,c_middlesex,b_southwark,1526,{ 230 5 5 }
6,e_britannia,k_england,d_bedford,c_middlesex,b_woxbrigge,1528,{ 230 5 5 }
7,e_britannia,k_england,d_bedford,c_middlesex,b_gore,1529,{ 230 5 5 }
8,e_britannia,k_england,d_bedford,c_middlesex,b_brentford,1530,{ 230 5 5 }
9,e_britannia,k_england,d_bedford,c_essex,,,
10,e_britannia,k_england,d_bedford,c_essex,b_colchester,1514,{ 220 20 30 }
11,e_britannia,k_england,d_bedford,c_essex,b_maldon,1515,{ 220 20 30 }
12,e_britannia,k_england,d_bedford,c_essex,b_chelmsford,1516,{ 220 20 30 }
13,e_britannia,k_england,d_bedford,c_essex,b_dunmow,1517,{ 220 20 30 }
14,e_britannia,k_england,d_bedford,c_bedford,,,
15,e_britannia,k_england,d_bedford,c_bedford,b_bedford,1538,{ 205 20 15 }
16,e_britannia,k_england,d_bedford,c_bedford,b_ampthill,1539,{ 205 20 15 }
17,e_britannia,k_england,d_bedford,c_bedford,b_luton,1540,{ 205 20 15 }
18,e_britannia,k_england,d_bedford,c_hertfordshire,,,
19,e_britannia,k_england,d_bedford,c_hertfordshire,b_berkhamsted,1531,{ 250 35 35 }
20,e_britannia,k_england,d_bedford,c_hertfordshire,b_saint_albans,1532,{ 250 35 35 }
21,e_britannia,k_england,d_bedford,c_hertfordshire,b_hertford,1533,{ 250 35 35 }
22,e_britannia,k_england,d_bedford,c_buckinghamshire,,,
23,e_britannia,k_england,d_bedford,c_buckinghamshire,b_buckingham,1551,{ 200 25 25 }
24,e_britannia,k_england,d_bedford,c_buckinghamshire,b_aylesbury,1552,{ 200 25 25 }
25,e_britannia,k_england,d_bedford,c_buckinghamshire,b_newport,1553,{ 200 25 25 }
26,e_britannia,k_england,d_bedford,c_buckinghamshire,b_wycombe,1554,{ 200 25 25 }
27,e_britannia,k_england,d_northumberland,,,,
28,e_britannia,k_england,d_northumberland,c_northumberland,,,
29,e_britannia,k_england,d_northumberland,c_northumberland,b_bamburgh,1609,{ 245 0 0 }
30,e_britannia,k_england,d_northumberland,c_northumberland,b_rothbury,1612,{ 245 0 0 }
31,e_britannia,k_england,d_northumberland,c_northumberland,b_lindisfarne,1610,{ 245 0 0 }
32,e_britannia,k_england,d_northumberland,c_northumberland,b_hexham,1611,{ 245 0 0 }
33,e_britannia,k_england,d_northumberland,c_durham,,,
34,e_britannia,k_england,d_northumberland,c_durham,b_durham,1606,{ 255 15 15 }
35,e_britannia,k_england,d_northumberland,c_durham,b_hartlepool,1607,{ 255 15 15 }
36,e_britannia,k_england,d_northumberland,c_durham,b_darlington,1608,{ 255 15 15 }
37,e_britannia,k_england,d_northumberland,c_cumberland,,,
38,e_britannia,k_england,d_northumberland,c_cumberland,b_carlisle,1635,{ 240 25 25 }
39,e_britannia,k_england,d_northumberland,c_cumberland,b_whitehaven,1636,{ 240 25 25 }
40,e_britannia,k_england,d_northumberland,c_cumberland,b_furness,1642,{ 240 25 25 }
41,e_britannia,k_england,d_lancaster,,,,
42,e_britannia,k_england,d_lancaster,c_lancashire,,,
43,e_britannia,k_england,d_lancaster,c_lancashire,b_lancaster,1639,{ 250 55 5 }
44,e_britannia,k_england,d_lancaster,c_lancashire,b_salford,1640,{ 250 55 5 }
45,e_britannia,k_england,d_lancaster,c_lancashire,b_west_derby,1641,{ 250 55 5 }
46,e_britannia,k_england,d_lancaster,c_westmorland,,,
47,e_britannia,k_england,d_lancaster,c_westmorland,b_kendal,1637,{ 210 35 10 }
48,e_britannia,k_england,d_lancaster,c_westmorland,b_appleby,1638,{ 210 35 10 }
49,e_britannia,k_england,d_lancaster,c_cheshire,,,
50,e_britannia,k_england,d_lancaster,c_cheshire,b_chester,1643,{ 255 127 15 }
51,e_britannia,k_england,d_lancaster,c_cheshire,b_northwich,1644,{ 255 127 15 }
52,e_britannia,k_england,d_lancaster,c_cheshire,b_macclesfield,1645,{ 255 127 15 }
53,e_britannia,k_england,d_lancaster,c_derby,,,
54,e_britannia,k_england,d_lancaster,c_derby,b_derby,1621,{ 255 50 20 }
55,e_britannia,k_england,d_lancaster,c_derby,b_chesterfield,1622,{ 255 50 20 }
56,e_britannia,k_england,d_lancaster,c_derby,b_castleton,1623,{ 255 50 20 }
57,e_britannia,k_england,d_york,,,,
58,e_britannia,k_england,d_york,c_north_riding,,,
59,e_britannia,k_england,d_york,c_north_riding,b_york,1595,{ 255 95 20 }
60,e_britannia,k_england,d_york,c_north_riding,b_scarborough,1596,{ 255 95 20 }
61,e_britannia,k_england,d_york,c_north_riding,b_whitby,1597,{ 255 95 20 }
62,e_britannia,k_england,d_york,c_north_riding,b_richmond,1598,{ 255 95 20 }
63,e_britannia,k_england,d_york,c_north_riding,b_yarlestre,1500,{ 255 95 20 }
64,e_britannia,k_england,d_york,c_east_riding,,,
65,e_britannia,k_england,d_york,c_east_riding,b_pockington,1588,{ 255 139 15 }
66,e_britannia,k_england,d_york,c_east_riding,b_cottingham,1589,{ 255 139 15 }
67,e_britannia,k_england,d_york,c_east_riding,b_bridlington,1590,{ 255 139 15 }
68,e_britannia,k_england,d_york,c_west_riding,,,
69,e_britannia,k_england,d_york,c_west_riding,b_leeds,1591,{ 255 120 35 }
70,e_britannia,k_england,d_york,c_west_riding,b_doncaster,1592,{ 255 120 35 }
71,e_britannia,k_england,d_york,c_west_riding,b_halifax,1593,{ 255 120 35 }
72,e_britannia,k_england,d_york,c_west_riding,b_sheffield,1594,{ 255 120 35 }
73,e_britannia,k_england,d_york,c_west_riding,b_bolton,1499,{ 255 120 35 }
74,e_britannia,k_england,d_york,c_west_riding,b_ripon,1599,{ 255 120 35 }
75,e_britannia,k_england,d_york,c_lincolnshire,,,
76,e_britannia,k_england,d_york,c_lincolnshire,b_lincoln,1583,{ 232 195 74 }
77,e_britannia,k_england,d_york,c_lincolnshire,b_stamford,1584,{ 232 195 74 }
78,e_britannia,k_england,d_york,c_lincolnshire,b_boston,1585,{ 232 195 74 }
79,e_britannia,k_england,d_york,c_lincolnshire,b_bolingsbroke,1586,{ 232 195 74 }
80,e_britannia,k_england,d_york,c_lincolnshire,b_grimsby,1587,{ 232 195 74 }
81,e_britannia,k_england,d_norfolk,,,,
82,e_britannia,k_england,d_norfolk,c_norfolk,,,
83,e_britannia,k_england,d_norfolk,c_norfolk,b_norwich,1522,{ 210 100 0 }
